ticker,date,candidate,is_selected,fill_time,signal_data_cutoff,reference_price,from_position,to_position,turnover,cost_fraction_of_day_start_equity,slippage_bps_per_side,commission_bps_per_side
MSTR,2026-08-31,reversal_3,False,2026-08-31T10:05:00-04:00,2026-08-31T10:05:00-04:00,126.76499938964844,-1.0,1.0,2.0,0.0010009790064894341,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T10:10:00-04:00,2026-08-31T10:10:00-04:00,126.62999725341797,1.0,-1.0,2.0,0.0009989130712998995,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T10:15:00-04:00,2026-08-31T10:15:00-04:00,126.2699966430664,-1.0,1.0,2.0,0.0010007511614176768,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T10:30:00-04:00,2026-08-31T10:30:00-04:00,126.61000061035156,1.0,-1.0,2.0,0.0010024424124326983,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T10:35:00-04:00,2026-08-31T10:35:00-04:00,126.62999725341797,-1.0,1.0,2.0,0.0010012818037021518,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T10:40:00-04:00,2026-08-31T10:40:00-04:00,127.4000015258789,1.0,-1.0,2.0,0.0010063629691244404,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T11:00:00-04:00,2026-08-31T11:00:00-04:00,128.5399932861328,-1.0,1.0,2.0,0.0009963243214373627,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T11:05:00-04:00,2026-08-31T11:05:00-04:00,128.7100067138672,1.0,-1.0,2.0,0.0009966444677347852,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T11:20:00-04:00,2026-08-31T11:20:00-04:00,128.4499969482422,-1.0,1.0,2.0,0.0009976118606365386,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T11:30:00-04:00,2026-08-31T11:30:00-04:00,129.3300018310547,1.0,-1.0,2.0,0.0010034420060825583,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T12:00:00-04:00,2026-08-31T12:00:00-04:00,129.86000061035156,-1.0,1.0,2.0,0.0009983022066358384,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T12:15:00-04:00,2026-08-31T12:15:00-04:00,130.49000549316406,1.0,-1.0,2.0,0.001002142240533355,5.0,0.0
