day,symbol,eligible,reason,last_price,adv,history_start,history_end,sessions,dollar_volume_method,instrument_admitted,market_cap,metadata_known_at,membership_basis
2026-09-01,AMZN,True,admitted,259.92999267578125,7657236081.712926,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,2769709432832,2026-09-13T19:07:19.367841+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,AVGO,True,admitted,370.82000732421875,5699325544.482651,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,1728006324224,2026-09-13T19:07:19.368706+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,COIN,False,small_or_unknown_market_cap,188.07000732421875,1368921272.389398,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,46240059392,2026-09-13T19:07:19.727845+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,COST,True,admitted,943.8800048828125,1122143951.2633698,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,401246322688,2026-09-13T19:07:19.751088+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,CRM,True,admitted,257.6199951171875,2669330665.491369,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,203873566720,2026-09-13T19:07:19.756829+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,GOOGL,True,admitted,339.2799987792969,6351178270.3619175,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,4139833098240,2026-09-13T19:07:19.761979+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,HOOD,True,admitted,104.80999755859375,1639199011.0939617,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,101209694208,2026-09-13T19:07:19.896464+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,INTC,True,admitted,89.47000122070312,8240904194.845418,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,544151666688,2026-09-13T19:07:19.928326+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,JNJ,True,admitted,265.8900146484375,1122334760.1127763,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,640020840448,2026-09-13T19:07:19.944521+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,JPM,True,admitted,356.1650085449219,1342140953.8802476,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,946925731840,2026-09-13T19:07:19.997855+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,MA,True,admitted,589.4000244140625,1197912101.909259,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,498616074240,2026-09-13T19:07:20.108974+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,MARA,False,small_or_unknown_market_cap,10.760000228881836,482766619.6013857,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,4627865600,2026-09-13T19:07:20.132453+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,META,True,admitted,572.9099731445312,7540397054.097058,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,1650860490752,2026-09-13T19:07:20.248934+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,MSFT,True,admitted,507.32000732421875,9468730395.15177,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,3680323239936,2026-09-13T19:07:20.272286+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,MSTR,True,admitted,132.9499969482422,2543053419.2099752,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,52031979520,2026-09-13T19:07:20.321485+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,MU,True,admitted,956.6799926757812,24263012973.398415,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,1101452017664,2026-09-13T19:07:20.369691+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,NFLX,True,admitted,81.04000091552734,1774757304.0562959,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,322288943104,2026-09-13T19:07:20.486151+00:00,contemporary_selected_panel_not_historical_proof
