feature,horizon_minutes,rows,pearson,spearman,min_time,max_time
a158_roc_20,15,54,0.0633979054035968,-0.016809605488850767,2026-09-14T13:45:00-04:00,2026-09-14T11:55:00-04:00
a158_roc_20,30,51,0.2803666104102059,0.2527601809954751,2026-09-14T13:45:00-04:00,2026-09-14T11:55:00-04:00
a158_roc_20,60,45,0.6552965082323686,0.6740447957839261,2026-09-14T13:45:00-04:00,2026-09-14T11:55:00-04:00
a158_ma_20,5,57,-0.02255970911472093,-0.09839253305677988,2026-09-14T13:05:00-04:00,2026-09-14T11:20:00-04:00
a158_ma_20,15,55,0.005053257946134098,-0.04783549783549785,2026-09-14T13:05:00-04:00,2026-09-14T11:20:00-04:00
a158_ma_20,30,52,-0.020365960828855226,0.005805515239477503,2026-09-14T13:05:00-04:00,2026-09-14T11:20:00-04:00
a158_ma_20,60,46,0.24394649998870774,0.28596978106691334,2026-09-14T13:05:00-04:00,2026-09-14T11:20:00-04:00
a158_std_20,5,57,0.06316520236318555,0.07194710915219082,2026-09-14T15:45:00-04:00,2026-09-14T11:05:00-04:00
a158_std_20,15,55,-0.01355397601087437,0.09639249639249642,2026-09-14T14:40:00-04:00,2026-09-14T11:05:00-04:00
a158_std_20,30,52,-0.11887488780512674,-0.031076581576026635,2026-09-14T14:40:00-04:00,2026-09-14T11:05:00-04:00
a158_std_20,60,46,-0.4336110382334227,-0.4376811594202898,2026-09-14T14:40:00-04:00,2026-09-14T11:05:00-04:00
a158_rsv_20,5,57,0.03666937726521508,0.08458646616541353,2026-09-14T15:05:00-04:00,2026-09-14T12:55:00-04:00
a158_rsv_20,15,55,0.05552955262996154,0.13643578643578647,2026-09-14T15:05:00-04:00,2026-09-14T12:55:00-04:00
a158_rsv_20,30,52,0.052219165404397465,0.052761888499957305,2026-09-14T15:05:00-04:00,2026-09-14T12:55:00-04:00
a158_rsv_20,60,46,-0.3074858358757314,-0.3486278137526981,2026-09-14T12:05:00-04:00,2026-09-14T12:55:00-04:00
a158_vma_20,5,57,-0.10374708548698083,-0.22271195229452945,2026-09-14T13:05:00-04:00,2026-09-14T12:30:00-04:00
a158_vma_20,15,55,0.32295065445097265,0.24502164502164508,2026-09-14T13:05:00-04:00,2026-09-14T12:30:00-04:00
a158_vma_20,30,52,0.3378043851658742,0.29462989840348336,2026-09-14T13:05:00-04:00,2026-09-14T12:30:00-04:00
a158_vma_20,60,46,0.3444552591793823,0.3249460376194881,2026-09-14T13:05:00-04:00,2026-09-14T12:30:00-04:00
a158_corr_20,5,57,-0.0954951844444583,-0.1311900440757065,2026-09-14T11:05:00-04:00,2026-09-14T15:30:00-04:00
a158_corr_20,15,55,-0.25145025298884555,-0.30367965367965377,2026-09-14T11:05:00-04:00,2026-09-14T15:30:00-04:00
a158_corr_20,30,52,-0.23411765144495897,-0.20934004951762997,2026-09-14T11:05:00-04:00,2026-09-14T15:05:00-04:00
a158_corr_20,60,46,0.16722832785376227,0.1606537156953438,2026-09-14T11:05:00-04:00,2026-09-14T12:15:00-04:00
a101_002,5,69,0.08164518875318784,0.07310032398592661,2026-09-14T15:45:00-04:00,2026-09-14T11:10:00-04:00
a101_002,15,67,0.031242771822361664,0.038256600983954135,2026-09-14T12:25:00-04:00,2026-09-14T11:10:00-04:00
a101_002,30,64,-0.16282440383193572,-0.1708607170528862,2026-09-14T12:25:00-04:00,2026-09-14T11:10:00-04:00
a101_002,60,58,-0.4814117439393991,-0.4055500909414721,2026-09-14T12:25:00-04:00,2026-09-14T11:10:00-04:00
a101_003,5,0,,,,
a101_003,15,0,,,,
a101_003,30,0,,,,
a101_003,60,0,,,,
a101_004,5,68,,,2026-09-14T10:10:00-04:00,2026-09-14T10:10:00-04:00
a101_004,15,66,-2.4190163704519962e-17,,2026-09-14T10:10:00-04:00,2026-09-14T10:10:00-04:00
a101_004,30,63,2.763481440971674e-17,,2026-09-14T10:10:00-04:00,2026-09-14T10:10:00-04:00
a101_004,60,57,8.363043951312901e-17,,2026-09-14T10:10:00-04:00,2026-09-14T10:10:00-04:00
a101_006,5,67,0.07112752602448295,0.1233139117247985,2026-09-14T13:10:00-04:00,2026-09-14T13:50:00-04:00
a101_006,15,65,0.025951877266627073,0.03758741258741259,2026-09-14T13:10:00-04:00,2026-09-14T13:50:00-04:00
a101_006,30,62,-0.061377720233144625,-0.036387902596257966,2026-09-14T13:10:00-04:00,2026-09-14T13:50:00-04:00
a101_006,60,56,0.040025813620590274,-0.010184552289815449,2026-09-14T13:10:00-04:00,2026-09-14T13:50:00-04:00
a101_012,5,75,0.1403344212556556,-0.08384068278805122,2026-09-14T09:45:00-04:00,2026-09-14T11:00:00-04:00
a101_012,15,73,-0.157061957992276,-0.11267431815377024,2026-09-14T09:45:00-04:00,2026-09-14T11:00:00-04:00
a101_012,30,70,-0.11766024370021554,-0.012334878838246872,2026-09-14T09:45:00-04:00,2026-09-14T11:00:00-04:00
a101_012,60,64,-0.09879335011756853,-0.10879120879120878,2026-09-14T09:45:00-04:00,2026-09-14T11:00:00-04:00
