symbol,feed,horizon,model,split,rows,mse_bps2,rmse_bps,mae_bps,mean_error_bps,ic,rank_ic,target_zero_fraction,forecast_zero_fraction,directional_rows,direction_accuracy_nonzero,forecast_direction_coverage,sign_match_including_zeros,predicted_abs_bps_p50,target_abs_bps_p50
SNDK,iex,1min,qi_ridge,2026-09-11_intraday,468,1928.94393191193,43.91974421501029,33.46230448756495,0.10443451724617793,-0.01195231929577905,-0.010803650175850237,0.049145299145299144,0.0,445,0.4943820224719101,1.0,0.4700854700854701,0.1163139524664036,32.86073552113855
SNDK,iex,1min,l1_ridge,2026-09-11_intraday,468,1880.7097511833065,43.367150600233195,33.26993975732738,-0.9324691419876535,0.19533951541454697,0.20570451627392403,0.049145299145299144,0.0,445,0.5528089887640449,1.0,0.5256410256410257,1.9228482656303658,32.86073552113855
SNDK,iex,1min,past_mid_plus_l1_ridge,2026-09-11_intraday,468,1537.7491238993614,39.21414443666164,31.40828280808251,-1.889358048076857,0.46214416963659416,0.4043143814607088,0.049145299145299144,0.0,445,0.6426966292134831,1.0,0.6111111111111112,12.116806289679296,32.86073552113855
SNDK,iex,5min,zero,2026-09-11_intraday,418,2154.64877295962,46.41819441727156,36.11852474355537,-2.3649889158867334,,,0.0215311004784689,1.0,0,,0.0,0.0215311004784689,0.0,32.650017985307315
SNDK,iex,5min,past_mid_ridge,2026-09-11_intraday,418,2066.4469918732275,45.458189491809144,35.597325671191214,-7.311744020282123,0.4356892469305433,0.4377859012804113,0.0215311004784689,0.0,409,0.5378973105134475,1.0,0.5263157894736842,5.034208721082133,32.650017985307315
SNDK,iex,5min,qi_ridge,2026-09-11_intraday,418,2177.477577675979,46.66345012615311,36.54659019898959,-5.476484710841705,0.03532576576711848,0.05078638081813791,0.0215311004784689,0.0,409,0.45965770171149145,1.0,0.44976076555023925,3.033976822692509,32.650017985307315
SNDK,iex,5min,l1_ridge,2026-09-11_intraday,418,2225.428858727885,47.17445133467781,37.374298418779965,-7.409680748875758,0.0279637857967226,0.014281709860146409,0.0215311004784689,0.0,409,0.46454767726161367,1.0,0.45454545454545453,5.951635242797944,32.650017985307315
SNDK,iex,5min,past_mid_plus_l1_ridge,2026-09-11_intraday,418,2141.9333410811987,46.2810257133655,36.4781274878717,-8.025155552730904,0.19625652633909607,0.18373467140094757,0.0215311004784689,0.0,409,0.46943765281173594,1.0,0.45933014354066987,5.471346218961955,32.650017985307315
TSLA,iex,1s,zero,2026-09-11_intraday,905,192.13802768661796,13.861386210859935,8.578325154951123,-0.7108058954598985,,,0.2165745856353591,1.0,0,,0.0,0.2165745856353591,0.0,3.0136986301376734
TSLA,iex,1s,past_mid_ridge,2026-09-11_intraday,905,157.18614083346193,12.537389713710823,8.560401904434324,0.1911223976227238,0.43254445233629235,0.35941823984520727,0.2165745856353591,0.0,709,0.5825105782792666,1.0,0.456353591160221,0.8678336075093821,3.0136986301376734
TSLA,iex,1s,qi_ridge,2026-09-11_intraday,905,194.15115893447188,13.93381351010813,8.999484018084052,0.1831157351709102,-0.09482170294610635,-0.09275919149458398,0.2165745856353591,0.0,709,0.4795486600846262,1.0,0.3756906077348066,0.6532024449745395,3.0136986301376734
