date,symbol,horizon,rows,ic,rank_ic,mse_bps2
2026-09-02,PLTR,6,71,-0.049895970114407426,0.11556002682763244,8819.105348731238
2026-09-02,PLTR,12,65,-0.19596883689690262,-0.0846590909090909,25534.621187153858
2026-09-02,NVDA,1,76,-0.19718579308780362,-0.09566643882433357,305.7490149701381
2026-09-02,NVDA,3,74,-0.2447413378067713,-0.12242873009996295,1358.1091046448162
2026-09-02,NVDA,6,71,-0.23432363649086965,-0.1874245472837022,3378.610717052833
2026-09-02,NVDA,12,65,-0.38609518083562894,-0.3513986013986014,9488.656121810027
2026-09-03,SNDK,1,76,-0.08188115886997444,-0.05812713602187287,1216.5073909086561
2026-09-03,SNDK,3,74,-0.2021070399397346,-0.06345797852647167,4527.600756855152
2026-09-03,SNDK,6,71,-0.07004583359040298,0.020456069751844396,6690.378545839244
2026-09-03,SNDK,12,65,0.0028130293781330187,-0.06031468531468532,9199.745317717277
2026-09-03,TSLA,1,76,0.19836594908255054,0.058783321941216674,700.5544237658879
2026-09-03,TSLA,3,74,0.37371043280403726,0.20390966308774522,1705.3915287156562
2026-09-03,TSLA,6,71,0.5771772594209111,0.4845741113346747,1744.9242319818143
2026-09-03,TSLA,12,65,0.8033961598520737,0.8200611888111888,2735.693103629211
2026-09-03,PLTR,1,76,0.5864550613737262,0.35830730217721635,821.839095634773
2026-09-03,PLTR,3,74,0.5746797544577275,0.29812661977045535,2879.0683546113733
2026-09-03,PLTR,6,71,0.648472191159725,0.24000670690811532,6581.507243213166
2026-09-03,PLTR,12,65,0.5944683847345537,-0.04938811188811189,5370.256664745553
2026-09-03,NVDA,1,76,0.016530600523728192,-0.03529733424470267,306.0254567814943
2026-09-03,NVDA,3,74,0.2880423748253496,0.22668641243983703,857.5923558010655
2026-09-03,NVDA,6,71,0.3131635160677095,0.3464453386988598,1746.3964970820682
2026-09-03,NVDA,12,65,0.06161873044503177,0.12202797202797204,3492.519545512765
2026-09-04,SNDK,1,76,0.12024549299133933,0.0789336978810663,1013.1833635658977
2026-09-04,SNDK,3,74,0.03711330722591882,0.11410588670862641,2704.722291194684
2026-09-04,SNDK,6,71,0.25606819960739824,0.18316566063044934,4926.034594852959
2026-09-04,SNDK,12,65,0.2629831234121906,0.023776223776223775,11138.992561066678
2026-09-04,TSLA,1,76,-0.24169880575115138,-0.09022556390977443,469.83186568341023
2026-09-04,TSLA,3,74,-0.4155959280082327,-0.3557941503146982,1235.8675532563452
2026-09-04,TSLA,6,71,-0.5505990615568939,-0.4827632461435278,2548.9585758274998
2026-09-04,TSLA,12,65,-0.7058864329649271,-0.8083916083916084,5159.44795269888
2026-09-04,PLTR,1,76,-0.12097321332719418,-0.10427887901572111,290.12240507644526
2026-09-04,PLTR,3,74,-0.3322819904758044,-0.34270270270270264,623.7299114553916
2026-09-04,PLTR,6,71,-0.15536559170741165,-0.015191146881287726,1108.6869269385452
2026-09-04,PLTR,12,65,-0.3277015192183084,-0.26359265734265735,2353.285805941824
