timestamp,quote_timestamp,price,size,reason
2026-09-14 12:21:30.507425079-04:00,2026-09-14 12:21:30.249466137-04:00,1541.78,13,inside_spread_unclassified
2026-09-14 12:21:42.645717167-04:00,2026-09-14 12:21:42.645606146-04:00,1541.3,1,inside_spread_unclassified
2026-09-14 12:21:56.148899849-04:00,2026-09-14 12:21:54.390133990-04:00,1541.035,40,inside_spread_unclassified
2026-09-14 12:22:07.958454343-04:00,2026-09-14 12:22:07.958115638-04:00,1540.12,2,inside_spread_unclassified
2026-09-14 12:22:07.958478493-04:00,2026-09-14 12:22:07.958115638-04:00,1540.13,2,inside_spread_unclassified
2026-09-14 12:22:08.015159800-04:00,2026-09-14 12:22:07.963126702-04:00,1540.08,50,inside_spread_unclassified
2026-09-14 12:22:08.015186803-04:00,2026-09-14 12:22:07.963126702-04:00,1540.07,50,inside_spread_unclassified
2026-09-14 12:22:10.386357180-04:00,2026-09-14 12:22:09.911947475-04:00,1539.585,30,inside_spread_unclassified
2026-09-14 12:22:15.768920725-04:00,2026-09-14 12:22:14.367266487-04:00,1540.03,40,inside_spread_unclassified
2026-09-14 12:22:15.774821515-04:00,2026-09-14 12:22:14.367266487-04:00,1540.03,4,inside_spread_unclassified
2026-09-14 12:22:21.594670338-04:00,2026-09-14 12:22:20.281600647-04:00,1540.06,100,inside_spread_unclassified
2026-09-14 12:22:22.962739676-04:00,2026-09-14 12:22:22.887520390-04:00,1540.015,1,inside_spread_unclassified
2026-09-14 12:22:23.933124582-04:00,2026-09-14 12:22:23.933061353-04:00,1540.58,1,inside_spread_unclassified
2026-09-14 12:22:23.955597832-04:00,2026-09-14 12:22:23.955168235-04:00,1540.52,13,inside_spread_unclassified
2026-09-14 12:22:52.826364077-04:00,2026-09-14 12:22:51.989584666-04:00,1539.55,40,inside_spread_unclassified
2026-09-14 12:23:00.030799313-04:00,2026-09-14 12:22:59.683500859-04:00,1539.51,1,inside_spread_unclassified
2026-09-14 12:23:00.030812473-04:00,2026-09-14 12:22:59.683500859-04:00,1539.51,1,inside_spread_unclassified
2026-09-14 12:23:03.841852173-04:00,2026-09-14 12:23:03.841509467-04:00,1540.06,13,inside_spread_unclassified
2026-09-14 12:23:04.119334991-04:00,2026-09-14 12:23:03.901860913-04:00,1540.06,7,inside_spread_unclassified
2026-09-14 12:23:05.354466174-04:00,2026-09-14 12:23:04.172601626-04:00,1540.195,1,inside_spread_unclassified
2026-09-14 12:23:13.137405911-04:00,2026-09-14 12:23:13.125062158-04:00,1541.53,10,inside_spread_unclassified
2026-09-14 12:23:13.137496923-04:00,2026-09-14 12:23:13.137437277-04:00,1541.54,40,at_or_above_ask
2026-09-14 12:23:25.706109962-04:00,2026-09-14 12:23:25.145875551-04:00,1542.5,1,inside_spread_unclassified
2026-09-14 12:23:27.725906687-04:00,2026-09-14 12:23:25.145875551-04:00,1542.85,13,inside_spread_unclassified
2026-09-14 12:23:31.996602841-04:00,2026-09-14 12:23:31.993735976-04:00,1543.43,20,inside_spread_unclassified
2026-09-14 12:23:32.898910969-04:00,2026-09-14 12:23:32.875944292-04:00,1543.81,13,inside_spread_unclassified
2026-09-14 12:23:32.898923880-04:00,2026-09-14 12:23:32.875944292-04:00,1543.92,1,inside_spread_unclassified
2026-09-14 12:23:32.898928391-04:00,2026-09-14 12:23:32.875944292-04:00,1543.92,1,inside_spread_unclassified
2026-09-14 12:23:32.898932927-04:00,2026-09-14 12:23:32.875944292-04:00,1543.92,1,inside_spread_unclassified
2026-09-14 12:23:44.393598211-04:00,2026-09-14 12:23:44.393310974-04:00,1543.94,1,inside_spread_unclassified
2026-09-14 12:23:47.769511590-04:00,2026-09-14 12:23:47.769510998-04:00,1544.66,1,inside_spread_unclassified
2026-09-14 12:23:48.576295377-04:00,2026-09-14 12:23:47.783117784-04:00,1544.66,15,inside_spread_unclassified
2026-09-14 12:23:48.584590856-04:00,2026-09-14 12:23:48.577170970-04:00,1544.8,6,inside_spread_unclassified
2026-09-14 12:23:50.012018289-04:00,2026-09-14 12:23:50.011804630-04:00,1545.14,7,inside_spread_unclassified
2026-09-14 12:23:50.012042625-04:00,2026-09-14 12:23:50.011804630-04:00,1545.14,1,inside_spread_unclassified
2026-09-14 12:23:51.259900940-04:00,2026-09-14 12:23:51.149329158-04:00,1545.29,4,inside_spread_unclassified
2026-09-14 12:23:51.759418391-04:00,2026-09-14 12:23:51.686501110-04:00,1545.275,30,inside_spread_unclassified
2026-09-14 12:24:02.510199462-04:00,2026-09-14 12:24:02.491172951-04:00,1545.33,50,inside_spread_unclassified
2026-09-14 12:24:02.510208501-04:00,2026-09-14 12:24:02.491172951-04:00,1545.33,13,inside_spread_unclassified
2026-09-14 12:24:02.510213896-04:00,2026-09-14 12:24:02.491172951-04:00,1545.36,37,inside_spread_unclassified
2026-09-14 12:24:45.989803624-04:00,2026-09-14 12:24:45.123706303-04:00,1545.235,100,inside_spread_unclassified
2026-09-14 12:24:58.316517208-04:00,2026-09-14 12:24:57.250451952-04:00,1545.83,9,inside_spread_unclassified
2026-09-14 12:24:58.316539088-04:00,2026-09-14 12:24:57.250451952-04:00,1545.84,31,inside_spread_unclassified
2026-09-14 12:24:59.299695823-04:00,2026-09-14 12:24:59.299488597-04:00,1545.5,13,inside_spread_unclassified
2026-09-14 12:25:00.602656426-04:00,2026-09-14 12:25:00.078443928-04:00,1545.62,2,inside_spread_unclassified
2026-09-14 12:25:05.226737749-04:00,2026-09-14 12:25:05.226515530-04:00,1545.21,1,inside_spread_unclassified
2026-09-14 12:25:08.439321735-04:00,2026-09-14 12:25:08.363537256-04:00,1544.24,3,inside_spread_unclassified
2026-09-14 12:25:19.522656366-04:00,2026-09-14 12:25:16.792128284-04:00,1543.99,1,inside_spread_unclassified
2026-09-14 12:25:29.950606445-04:00,2026-09-14 12:25:29.921912860-04:00,1543.19,1,inside_spread_unclassified
2026-09-14 12:25:32.756258592-04:00,2026-09-14 12:25:32.752428109-04:00,1543.15,1,inside_spread_unclassified
2026-09-14 12:25:46.782648338-04:00,2026-09-14 12:25:46.693777802-04:00,1542.85,40,at_or_below_bid
2026-09-14 12:26:02.574171023-04:00,2026-09-14 12:26:02.538628622-04:00,1541.7,5,inside_spread_unclassified
2026-09-14 12:26:02.726178352-04:00,2026-09-14 12:26:02.593898129-04:00,1541.21,5,inside_spread_unclassified
2026-09-14 12:26:02.726277204-04:00,2026-09-14 12:26:02.593898129-04:00,1541.17,2,inside_spread_unclassified
2026-09-14 12:26:02.773609172-04:00,2026-09-14 12:26:02.593898129-04:00,1541.31,5,inside_spread_unclassified
2026-09-14 12:26:04.900931900-04:00,2026-09-14 12:26:04.743152675-04:00,1542.12,40,inside_spread_unclassified
2026-09-14 12:26:29.536856962-04:00,2026-09-14 12:26:29.078654851-04:00,1541.74,20,inside_spread_unclassified
2026-09-14 12:26:43.985981192-04:00,2026-09-14 12:26:43.985874986-04:00,1542.63,1,inside_spread_unclassified
2026-09-14 12:26:44.640481996-04:00,2026-09-14 12:26:44.273685447-04:00,1542.68,1,inside_spread_unclassified
2026-09-14 12:26:44.640491504-04:00,2026-09-14 12:26:44.273685447-04:00,1542.68,1,inside_spread_unclassified
2026-09-14 12:26:46.121019247-04:00,2026-09-14 12:26:44.891575208-04:00,1542.51,13,inside_spread_unclassified
2026-09-14 12:27:02.337299624-04:00,2026-09-14 12:27:02.046146652-04:00,1542.46,5,inside_spread_unclassified
2026-09-14 12:27:15.703993152-04:00,2026-09-14 12:27:15.703940849-04:00,1543.05,1,inside_spread_unclassified
2026-09-14 12:27:15.704014685-04:00,2026-09-14 12:27:15.703940849-04:00,1543.05,7,inside_spread_unclassified
2026-09-14 12:27:31.550162799-04:00,2026-09-14 12:27:31.550160319-04:00,1541.99,1,inside_spread_unclassified
2026-09-14 12:27:31.561062505-04:00,2026-09-14 12:27:31.559338112-04:00,1541.81,1,inside_spread_unclassified
2026-09-14 12:27:32.320008907-04:00,2026-09-14 12:27:32.319819717-04:00,1541.69,1,inside_spread_unclassified
2026-09-14 12:27:43.072859676-04:00,2026-09-14 12:27:43.072133473-04:00,1540.29,1,inside_spread_unclassified
2026-09-14 12:28:00.055864341-04:00,2026-09-14 12:27:59.873372801-04:00,1540.7,5,inside_spread_unclassified
2026-09-14 12:28:01.460634775-04:00,2026-09-14 12:28:01.446916224-04:00,1541.04,1,inside_spread_unclassified
2026-09-14 12:28:01.461243238-04:00,2026-09-14 12:28:01.446916224-04:00,1541.0,13,inside_spread_unclassified
