timestamp,quote_timestamp,price,size,reason
2026-09-14 10:33:53.637817369-04:00,2026-09-14 10:33:53.067684245-04:00,168.38,40,inside_spread_unclassified
2026-09-14 10:33:53.637837816-04:00,2026-09-14 10:33:53.637819232-04:00,168.39,63,inside_spread_unclassified
2026-09-14 10:33:53.718627952-04:00,2026-09-14 10:33:53.718542845-04:00,168.39,70,inside_spread_unclassified
2026-09-14 10:33:53.810292212-04:00,2026-09-14 10:33:53.744629164-04:00,168.44,113,inside_spread_unclassified
2026-09-14 10:33:53.848080804-04:00,2026-09-14 10:33:53.835796813-04:00,168.38,100,inside_spread_unclassified
2026-09-14 10:33:54.419425503-04:00,2026-09-14 10:33:54.419360741-04:00,168.32,100,inside_spread_unclassified
2026-09-14 10:33:54.451532748-04:00,2026-09-14 10:33:54.451475232-04:00,168.305,100,inside_spread_unclassified
2026-09-14 10:33:54.682149418-04:00,2026-09-14 10:33:54.451800549-04:00,168.345,100,inside_spread_unclassified
2026-09-14 10:33:54.719157439-04:00,2026-09-14 10:33:54.451800549-04:00,168.345,100,inside_spread_unclassified
2026-09-14 10:33:54.719864068-04:00,2026-09-14 10:33:54.451800549-04:00,168.345,100,inside_spread_unclassified
2026-09-14 10:33:55.114177298-04:00,2026-09-14 10:33:54.451800549-04:00,168.32,70,inside_spread_unclassified
2026-09-14 10:33:56.130659802-04:00,2026-09-14 10:33:55.954664356-04:00,168.34,70,inside_spread_unclassified
2026-09-14 10:33:56.131221041-04:00,2026-09-14 10:33:55.954664356-04:00,168.34,30,inside_spread_unclassified
2026-09-14 10:33:56.137601863-04:00,2026-09-14 10:33:55.954664356-04:00,168.34,40,inside_spread_unclassified
2026-09-14 10:33:57.026385360-04:00,2026-09-14 10:33:57.004686838-04:00,168.455,60,inside_spread_unclassified
2026-09-14 10:33:57.026398461-04:00,2026-09-14 10:33:57.004686838-04:00,168.455,40,inside_spread_unclassified
2026-09-14 10:33:57.026903965-04:00,2026-09-14 10:33:57.004686838-04:00,168.45,60,inside_spread_unclassified
2026-09-14 10:33:57.628321652-04:00,2026-09-14 10:33:57.055539090-04:00,168.45,100,inside_spread_unclassified
2026-09-14 10:33:59.015590059-04:00,2026-09-14 10:33:59.000156630-04:00,168.5,70,inside_spread_unclassified
2026-09-14 10:33:59.015622280-04:00,2026-09-14 10:33:59.000156630-04:00,168.5,156,inside_spread_unclassified
2026-09-14 10:33:59.015714179-04:00,2026-09-14 10:33:59.000156630-04:00,168.5,63,inside_spread_unclassified
