strategy,symbol,start,end,shares_held,start_reference_price,end_reference_price,gross_pnl,end_fill_assumed_cost,net_increment,shares_after
l1_base,NVDA,2026-09-14 13:05:00-04:00,2026-09-14 13:10:00-04:00,-109.0,212.1385955810547,212.1750030517578,-3.968414306640625,0.1060875015258789,-4.074501808166504,-108.0
l1_base,NVDA,2026-09-14 13:10:00-04:00,2026-09-14 13:15:00-04:00,-108.0,212.1750030517578,212.07000732421875,11.33953857421875,2.438805084228516,8.900733489990234,-131.0
l1_base,NVDA,2026-09-14 13:15:00-04:00,2026-09-14 13:20:00-04:00,-131.0,212.07000732421875,212.0449981689453,3.2761993408203125,9.754069915771485,-6.477870574951172,-39.0
l1_base,NVDA,2026-09-14 13:20:00-04:00,2026-09-14 13:25:00-04:00,-39.0,212.0449981689453,212.3500061035156,-11.895309448241079,0.1061750030517578,-12.001484451292837,-38.0
l1_base,NVDA,2026-09-14 13:25:00-04:00,2026-09-14 13:30:00-04:00,-38.0,212.3500061035156,212.58999633789065,-9.11962890625216,5.739929901123047,-14.859558807375208,-92.0
l1_base,NVDA,2026-09-14 13:30:00-04:00,2026-09-14 13:35:00-04:00,-92.0,212.58999633789065,212.4199981689453,15.639831542971365,0.1062099990844726,15.533621543886893,-91.0
l1_base,NVDA,2026-09-14 13:35:00-04:00,2026-09-14 13:40:00-04:00,-91.0,212.4199981689453,212.4600067138672,-3.640777587890625,0.1062300033569336,-3.7470075912475584,-90.0
l1_base,NVDA,2026-09-14 13:40:00-04:00,2026-09-14 13:50:00-04:00,-90.0,212.4600067138672,212.5749969482422,-10.34912109375,6.4835374069213865,-16.832658500671386,-151.0
l1_base,NVDA,2026-09-14 13:50:00-04:00,2026-09-14 14:05:00-04:00,-151.0,212.5749969482422,212.28640747070312,43.57701110839844,0.1061432037353515,43.47086790466309,-150.0
l1_base,NVDA,2026-09-14 14:05:00-04:00,2026-09-14 14:10:00-04:00,-150.0,212.28640747070312,212.5399932861328,-38.037872314453125,0.1062699966430664,-38.14414231109619,-149.0
l1_base,NVDA,2026-09-14 14:10:00-04:00,2026-09-14 14:15:00-04:00,-149.0,212.5399932861328,212.4600067138672,11.917999267578125,0.1062300033569336,11.81176926422119,-148.0
l1_base,NVDA,2026-09-14 14:15:00-04:00,2026-09-14 14:20:00-04:00,-148.0,212.4600067138672,212.22999572753903,34.041625976566706,0.1061149978637695,33.935510978702936,-147.0
l1_base,NVDA,2026-09-14 14:20:00-04:00,2026-09-14 14:25:00-04:00,-147.0,212.22999572753903,212.18499755859372,6.6147308349609375,0.1060924987792968,6.508638336181641,-146.0
l1_base,NVDA,2026-09-14 14:25:00-04:00,2026-09-14 14:30:00-04:00,-146.0,212.18499755859372,212.1100006103516,10.949554443351076,1.484770004272461,9.464784439078615,-132.0
l1_base,NVDA,2026-09-14 14:30:00-04:00,2026-09-14 14:35:00-04:00,-132.0,212.1100006103516,212.27999877929688,-22.4397583007775,2.0166599884033203,-24.456418289180817,-151.0
l1_base,NVDA,2026-09-14 14:35:00-04:00,2026-09-14 14:40:00-04:00,-151.0,212.27999877929688,212.4149932861328,-20.384170532226562,0.1062074966430664,-20.49037802886963,-150.0
l1_base,NVDA,2026-09-14 14:40:00-04:00,2026-09-14 14:45:00-04:00,-150.0,212.4149932861328,212.3999938964844,2.2499084472613617,0.1061999969482421,2.14370845031312,-151.0
l1_base,NVDA,2026-09-14 14:45:00-04:00,2026-09-14 14:50:00-04:00,-151.0,212.3999938964844,212.33999633789065,9.05963134765625,0.1061699981689453,8.953461349487304,-150.0
l1_base,NVDA,2026-09-14 14:50:00-04:00,2026-09-14 15:00:00-04:00,-150.0,212.33999633789065,212.57000732421875,-34.50164794921449,0.1062850036621093,-34.607932952876595,-149.0
l1_base,NVDA,2026-09-14 15:00:00-04:00,2026-09-14 15:05:00-04:00,-149.0,212.57000732421875,212.58999633789065,-2.97836303711361,1.3818349761962891,-4.360198013309899,-136.0
l1_base,NVDA,2026-09-14 15:05:00-04:00,2026-09-14 15:10:00-04:00,-136.0,212.58999633789065,212.4199981689453,23.119750976566365,1.168309989929199,21.951440986637166,-125.0
l1_base,NVDA,2026-09-14 15:10:00-04:00,2026-09-14 15:15:00-04:00,-125.0,212.4199981689453,212.2700042724609,18.749237060550428,13.266875267028809,5.482361793521619,0.0
l1_base,NVDA,2026-09-14 15:15:00-04:00,2026-09-14 15:40:00-04:00,0.0,212.2700042724609,211.83999633789065,-0.0,4.978239913940429,-4.978239913940429,47.0
l1_base,NVDA,2026-09-14 15:40:00-04:00,2026-09-14 15:55:00-04:00,47.0,211.83999633789065,211.7100067138672,-6.109512329102898,4.975185157775879,-11.084697486878778,0.0
l1_base,TSLA,,2026-09-14 09:40:00-04:00,0.0,,361.7000122070313,0.0,12.116950408935548,-12.116950408935548,-67.0
l1_base,TSLA,2026-09-14 09:40:00-04:00,2026-09-14 09:45:00-04:00,-67.0,361.7000122070313,361.7300109863281,-2.0099182128868165,12.117955368041992,-14.127873580928808,0.0
l1_base,TSLA,2026-09-14 09:45:00-04:00,2026-09-14 09:55:00-04:00,0.0,361.7300109863281,361.8150024414063,0.0,16.281675109863283,-16.281675109863283,90.0
l1_base,TSLA,2026-09-14 09:55:00-04:00,2026-09-14 10:00:00-04:00,90.0,361.8150024414063,360.2250061035156,-143.09967041016137,0.1801125030517578,-143.27978291321313,89.0
l1_base,TSLA,2026-09-14 10:00:00-04:00,2026-09-14 10:05:00-04:00,89.0,360.2250061035156,360.09039306640625,-11.980560302734375,0.1800451965332031,-12.160605499267579,88.0
l1_base,TSLA,2026-09-14 10:05:00-04:00,2026-09-14 10:10:00-04:00,88.0,360.09039306640625,360.9200134277344,73.006591796875,0.1804600067138672,72.82613179016113,87.0
l1_base,TSLA,2026-09-14 10:10:00-04:00,2026-09-14 10:15:00-04:00,87.0,360.9200134277344,360.80999755859375,-9.571380615234375,0.1804049987792969,-9.751785614013672,86.0
l1_base,TSLA,2026-09-14 10:15:00-04:00,2026-09-14 10:20:00-04:00,86.0,360.80999755859375,358.8349914550781,-169.85052490234375,15.42990463256836,-185.28042953491212,0.0
l1_base,TSLA,2026-09-14 10:20:00-04:00,2026-09-14 10:25:00-04:00,0.0,358.8349914550781,357.489990234375,-0.0,8.043524780273437,-8.043524780273437,-45.0
l1_base,TSLA,2026-09-14 10:25:00-04:00,2026-09-14 10:35:00-04:00,-45.0,357.489990234375,359.0,-67.950439453125,0.1795,-68.129939453125,-44.0
l1_base,TSLA,2026-09-14 10:35:00-04:00,2026-09-14 10:40:00-04:00,-44.0,359.0,358.20001220703125,35.199462890625,2.86560009765625,32.33386279296875,-60.0
l1_base,TSLA,2026-09-14 10:40:00-04:00,2026-09-14 10:45:00-04:00,-60.0,358.20001220703125,358.7099914550781,-30.5987548828125,0.179354995727539,-30.77810987854004,-59.0
l1_base,TSLA,2026-09-14 10:45:00-04:00,2026-09-14 10:50:00-04:00,-59.0,358.7099914550781,359.19000244140625,-28.320648193359375,7.542990051269531,-35.86363824462891,-17.0
l1_base,TSLA,2026-09-14 10:50:00-04:00,2026-09-14 10:55:00-04:00,-17.0,359.19000244140625,358.5799865722656,10.370269775390625,2.689349899291992,7.680919876098633,-2.0
l1_base,TSLA,2026-09-14 10:55:00-04:00,2026-09-14 11:00:00-04:00,-2.0,358.5799865722656,358.6099853515625,-0.05999755859375,0.3586099853515625,-0.4186075439453125,0.0
l1_base,TSLA,2026-09-14 11:00:00-04:00,2026-09-14 11:55:00-04:00,0.0,358.6099853515625,363.63958740234375,0.0,12.54556576538086,-12.54556576538086,-69.0
l1_base,TSLA,2026-09-14 11:55:00-04:00,2026-09-14 12:00:00-04:00,-69.0,363.63958740234375,363.1744995117188,32.09106445312108,3.450157745361328,28.64090670775975,-88.0
l1_base,TSLA,2026-09-14 12:00:00-04:00,2026-09-14 12:05:00-04:00,-88.0,363.1744995117188,363.9100036621094,-64.72436523437,0.1819550018310546,-64.90632023620105,-87.0
l1_base,TSLA,2026-09-14 12:05:00-04:00,2026-09-14 12:10:00-04:00,-87.0,363.9100036621094,362.8901062011719,88.7310791015625,11.431038345336914,77.30004075622558,-24.0
l1_base,TSLA,2026-09-14 12:10:00-04:00,2026-09-14 12:15:00-04:00,-24.0,362.8901062011719,362.4737854003906,9.99169921875,0.1812368927001953,9.810462326049805,-23.0
l1_base,TSLA,2026-09-14 12:15:00-04:00,2026-09-14 12:20:00-04:00,-23.0,362.4737854003906,363.7699890136719,-29.81268310546875,1.2731949615478515,-31.0858780670166,-16.0
l1_base,TSLA,2026-09-14 12:20:00-04:00,2026-09-14 12:25:00-04:00,-16.0,363.7699890136719,363.55029296875,3.51513671875,1.272426025390625,2.242710693359375,-9.0
l1_base,TSLA,2026-09-14 12:25:00-04:00,2026-09-14 12:35:00-04:00,-9.0,363.55029296875,362.9299926757813,5.582702636718238,1.9961149597167969,3.5865876770014413,-20.0
l1_base,TSLA,2026-09-14 12:35:00-04:00,2026-09-14 12:45:00-04:00,-20.0,362.9299926757813,362.2851867675781,12.896118164063637,3.622851867675781,9.273266296387856,0.0
l1_base,TSLA,2026-09-14 12:45:00-04:00,2026-09-14 13:00:00-04:00,0.0,362.2851867675781,362.7749938964844,0.0,6.529949890136718,-6.529949890136718,36.0
l1_base,TSLA,2026-09-14 13:00:00-04:00,2026-09-14 13:10:00-04:00,36.0,362.7749938964844,362.5549926757813,-7.920043945310454,6.344712371826172,-14.264756317136627,1.0
